XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
447406.1307,4375090.881,518,524,262,548.9007437
392290.9911,4375127.921,521,522,261,641.2994219
392420.7465,4374506.654,522,521,261,641.2994219
447951.8161,4375150.198,524,518,262,548.9007437
447951.8161,4375150.198,524,125,263,2514.697297
447951.8161,4375150.198,524,599,300,1574.746472
440914.12,4375158.94,528,465,264,511.2145128
441477.6,4375995.078,529,504,265,940.0694378
441477.6,4375995.078,529,537,269,195.4117791
441497.1462,4375995.352,532,508,266,939.2064322
441497.1462,4375995.352,532,540,270,192.6619609
438922.6285,4375082.005,533,534,267,1162.691228
438922.6285,4375082.005,533,498,101805,36.9937469
439427.2536,4376111.451,534,533,267,1162.691228
439427.2536,4376111.451,534,551,101807,60.44007955
439404.0655,4376112.542,535,536,268,1159.729151
439404.0655,4376112.542,535,550,101808,62.21567472
438905.6473,4375082.505,536,535,268,1159.729151
438905.6473,4375082.505,536,499,101806,35.16599249
441443.3802,4376187.47,537,529,269,195.4117791
441443.3802,4376187.47,537,673,337,1031.24191
441497.847,4376188.012,540,532,270,192.6619609
441497.847,4376188.012,540,672,336,1026.263758
441190.255,4376406.396,541,479,271,1653.666298
452202.5875,4376154.492,543,544,272,332.6420368
452197.4927,4376487.094,544,543,272,332.6420368
452197.4927,4376487.094,544,546,273,936.858502
452197.4927,4376487.094,544,850,425,1671.553652
453133.0429,4376529.293,546,544,273,936.858502
453133.0429,4376529.293,546,548,274,37.22627061
453133.0429,4376529.293,546,645,323,555.364037
453135.9891,4376492.183,548,546,274,37.22627061
453135.9891,4376492.183,548,555,278,365.5770852
439772.7213,4376533.289,549,550,275,497.189672
439772.7213,4376533.289,549,610,101809,28.82709455
439445.0668,4376159.337,550,549,275,497.189672
439445.0668,4376159.337,550,535,101808,62.21567472
439466.1962,4376157.673,551,552,276,497.8562569
439466.1962,4376157.673,551,534,101807,60.44007955
439792.798,4376533.421,552,551,276,497.8562569
439792.798,4376533.421,552,607,101810,30.45809921
441419.931,4376543.301,553,501,277,1501.271534
441419.931,4376543.301,553,557,279,34.00103856
441419.931,4376543.301,553,565,284,42.43050098
453494.9996,4376560.448,555,548,278,365.5770852
453494.9996,4376560.448,555,561,281,174.6644272
453494.9996,4376560.448,555,626,313,297.3223105
441395.7994,4376564.905,557,553,279,34.00103856
441395.7994,4376564.905,557,565,283,33.05302671
441395.7994,4376564.905,557,597,299,306.6732303
441485.2671,4376571.153,560,512,280,1516.368736
441485.2671,4376571.153,560,578,289,40.48489467
441485.2671,4376571.153,560,588,294,53.91237317
453668.027,4376580.952,561,555,281,174.6644272
453668.027,4376580.952,561,563,282,379.6263995
453668.027,4376580.952,561,628,314,281.475558
453774.6666,4376300.044,563,561,282,379.6263995
441420.0375,4376585.732,565,557,283,33.05302671
441420.0375,4376585.732,565,553,284,42.43050098
441420.0375,4376585.732,565,675,338,637.4699706
441735.7383,4376587.132,569,570,285,32.66672098
441735.7383,4376587.132,569,575,288,46.00753496
441735.7383,4376587.132,569,583,293,30.45195555
441768.3993,4376586.519,570,569,285,32.66672098
441768.3993,4376586.519,570,572,286,102.2261931
441768.3993,4376586.519,570,595,298,114.9827896
441870.617,4376587.837,572,570,286,102.2261931
441870.617,4376587.837,572,574,287,49.49034361
441870.617,4376587.837,572,582,291,145.0506668
441870.617,4376587.837,572,604,303,143.0055021
441871.3709,4376538.352,574,572,287,49.49034361
441689.7656,4376588.921,575,569,288,46.00753496
441689.7656,4376588.921,575,578,290,175.3937139
441689.7656,4376588.921,575,583,292,31.33010944
441514.5209,4376596.149,578,560,289,40.48489467
441514.5209,4376596.149,578,575,290,175.3937139
441514.5209,4376596.149,578,588,295,45.65666547
442014.7802,4376603.858,582,572,291,145.0506668
442014.7802,4376603.858,582,612,307,177.2139858
442014.7802,4376603.858,582,618,310,378.2045614
441713.9249,4376607.385,583,575,292,31.33010944
441713.9249,4376607.385,583,569,293,30.45195555
441713.9249,4376607.385,583,602,301,304.5417013
441480.1472,4376624.822,588,560,294,53.91237317
441480.1472,4376624.822,588,578,295,45.65666547
441480.1472,4376624.822,588,670,335,580.7540287
450257.5017,4376628.794,591,592,296,458.804556
450257.5017,4376628.794,591,621,311,895.3230129
450257.5017,4376628.794,591,665,334,546.0808849
450347.2962,4376178.864,592,591,296,458.804556
392425.9504,4376657.673,593,594,297,413.3087715
392838.0433,4376687.23,594,593,297,413.3087715
392838.0433,4376687.23,594,693,101812,359.4987355
441755.1654,4376700.738,595,570,298,114.9827896
441755.1654,4376700.738,595,604,302,104.7422731
441755.1654,4376700.738,595,615,308,90.808882
441397.3976,4376714.573,597,557,299,306.6732303
441397.3976,4376714.573,597,602,101811,107.8650271
447858.2316,4376717.561,599,524,300,1574.746472
447858.2316,4376717.561,599,631,316,1572.494811
447858.2316,4376717.561,599,890,446,1894.484149
441505.1125,4376720.261,602,583,301,304.5417013
441505.1125,4376720.261,602,597,101811,107.8650271
441855.7523,4376729.948,604,595,302,104.7422731
441855.7523,4376729.948,604,572,303,143.0055021
441855.7523,4376729.948,604,612,306,153.6189959
439812.8716,4376556.328,607,608,304,284.365517
439812.8716,4376556.328,607,552,101810,30.45809921
439999.0701,4376771.256,608,607,304,284.365517
439999.0701,4376771.256,608,657,101814,25.15362872
439978.1458,4376771.451,609,610,305,285.6896251
439978.1458,4376771.451,609,656,101813,22.93072568
439791.5489,4376555.118,610,609,305,285.6896251
439791.5489,4376555.118,610,549,101809,28.82709455
442000.892,4376780.28,612,604,306,153.6189959
442000.892,4376780.28,612,582,307,177.2139858
442000.892,4376780.28,612,618,309,147.9728244
441742.6342,4376790.678,615,595,308,90.808882
442141.5204,4376826.319,618,612,309,147.9728244
442141.5204,4376826.319,618,582,310,378.2045614
442141.5204,4376826.319,618,650,325,921.0356227
451125.5245,4376848.175,621,591,311,895.3230129
451125.5245,4376848.175,621,623,312,685.5254484
451125.5245,4376848.175,621,922,462,1776.700084
451210.3471,4376167.923,623,621,312,685.5254484
453449.5281,4376854.17,626,555,313,297.3223105
453449.5281,4376854.17,626,628,315,223.2961841
453449.5281,4376854.17,626,642,321,208.3721067
453672.4955,4376862.098,628,561,314,281.475558
453672.4955,4376862.098,628,626,315,223.2961841
453672.4955,4376862.098,628,636,318,341.2780613
453672.4955,4376862.098,628,638,319,187.5269275
449419.9883,4376887.81,631,599,316,1572.494811
449419.9883,4376887.81,631,633,317,710.6472258
449419.9883,4376887.81,631,665,333,916.9172693
449549.703,4376189.131,633,631,317,710.6472258
453839.9651,4377045.412,636,628,318,341.2780613
453839.9651,4377045.412,636,638,320,153.8739388
453839.9651,4377045.412,636,688,344,1649.953365
